Molecule	Protein	Gene	UniProt	C1	C2	C3	C4	C5	C8	C9	C11	C14	C15	C16	C17	C18	C19	C20	C21	C24	C25	C26	C27	P1	P2	P4	P6	P9	P11	P13	P17	P18	P19	P20	P21	P24	P25	P27	P28	P29	P30	P31	P32
3074-6	LBP	LBP	P18428	58820.8	63309.2	63490.3	58750.6	68691	56573.6	51759.5	55740.9	60234.3	59524.7	62421.6	68807.4	64216.7	62534.4	54460	58243.9	70217.5	57955.5	59145.3	71246	59564.3	62586	56267.5	67140.6	56838.3	58953	58560.2	53837.3	56211.9	60096.8	61933.7	62549.4	58637.3	59023.8	60120.5	64504.5	73840.7	58321.3	63779.8	51537
3077-66	Coagulation Factor Xa	F10	P00742	2172.4	2146.4	1806.3	2549.8	1993.9	2502.4	2589.6	1575.8	2403.2	1897.7	2180.4	2043.6	2100.7	2002.9	1908.7	2067.5	2650.9	2286.9	1861.6	1831.7	2281.7	2395	1709.1	2818.1	2384.8	2175.2	1993.2	2150.9	2024.1	2096.9	2005.7	2347.7	1782.4	2496.2	2200.7	2277.2	1968.2	1845.1	1604.6	2089.3
3078-1	PlGF	PGF	P49763	433.4	458.6	453.4	456.7	450.2	456.2	546.2	488.1	454.9	429.9	486.9	449	430.7	463.8	434.7	517.3	513.9	401.6	481	389.9	465.3	431.5	466.3	441.3	485.6	473.1	472.8	483	414.5	456.7	431.2	452.9	436.7	493.5	426.2	449.1	451.6	426.9	457.7	426.5
3079-62	TIG2	RARRES2	Q99969	6419.9	5373.3	5313.6	5489.9	5102.4	5569.5	8577	5394.4	4886.5	4800.4	5850.5	4182.1	5426.3	6823.5	4083.2	4340.2	4807.9	4903.2	4364.9	4941.5	6738.3	6149.5	3761.3	6294.1	5260.2	7237.9	5985	5577.6	5829.4	5174.3	4576.1	4258.7	4946.6	6615	4363.1	5279.8	5089.1	6083.1	4980.3	4682.2
3081-70	ULBP-1	ULBP1	Q9BZM6	508.9	522.2	696.9	590.7	489	609.3	445	654.7	478.2	460.1	620.3	672.7	488.7	767	516.8	597.8	497.6	714.6	521.6	453.1	519.3	502.6	470.1	500.9	626.1	601.9	665	728.1	473.6	553.2	491.6	562.1	471.5	610.9	418.4	651.4	508	454.4	659.3	493
3082-9	ULBP-2	ULBP2	Q9BZM5	276.8	286.9	448.6	287.8	294.8	322.6	282.4	292.6	286.8	294.7	309.1	315	304.8	276.9	286	282.8	287	366.8	285.7	308.5	328.4	311.4	266.5	299.7	340.4	315.3	315.4	283	262.7	286.1	355.3	395.1	300.2	328.4	246.2	285.2	274.7	268.8	275.3	268.6
3083-71	XEDAR	EDA2R	Q9HAV5	600.8	584.3	598.8	591.1	521.2	615.8	631.1	626.1	574	568.2	706.1	600.1	570.5	579.7	625	732.4	575	585.7	669	549.5	591.7	563.2	674.7	710.1	608.7	667.9	622.8	689	550.4	677.3	611	597.2	604.1	852.9	516.4	575.4	557.9	636.3	577.6	637.6
3091-70	Aurora kinase A	AURKA	O14965	1597.2	1475.1	1631.6	1435.8	2098.9	1305.4	1450.9	1576.2	1415.1	1256.3	1424.7	1141.9	1211	1858.7	1275.3	1662.1	1288.6	1679.8	1422.7	2158.7	1225.8	1335.2	1988	1402.3	1515.3	1466.4	1294.6	1366.6	1523.5	1299.5	1250.3	1094.1	1167.7	1556	1566	1638.1	1407.2	1368.5	1405.2	1513.2
3115-64	MK01	MAPK1	P28482	1050.7	1036.1	869.3	1083.2	1325.4	1262.5	812	1016.7	1250.9	1489.1	1203.9	1613.5	1070.7	1129.9	920	814	1588.7	1576	1773.8	1148.4	1365.4	1051.5	818	867.2	1294.2	1208.3	1288.7	2028.3	1074.4	1102.8	1562.4	949.2	1240.1	1092.9	932	1368.1	685.8	1033.1	1442.1	1007.6
3122-6	SMAC	DIABLO	Q9NR28	3560.1	4131.6	2614.8	4100.5	2704.9	8341.5	89210.6	3052.8	3573.9	3955.6	4100.6	3842.8	3721.4	3405.5	3886.7	4528.5	3660	4648.9	3916.7	4489.6	3711.2	3816.6	3636	3570.7	4372.2	4137.3	3945.6	3841.1	4633.6	8170.7	4007	4113.9	4991.2	2987.8	3433.1	3733.1	3723.8	4563.6	3808	4042.9
3132-1	VEGF-C	VEGFC	P49767	599.4	606.8	601.6	545.5	547	780.3	533.5	687.1	722.5	681.4	879.2	781.6	649.6	530	605	555.1	680.2	670.1	744.2	636	696.6	642.9	573.6	614.1	646.6	786.1	890.1	894.9	611.6	673.8	649.2	675.2	661	701.3	587.3	752.2	578.1	666	737.3	674.8
3143-3	sCD4	CD4	P01730	403.1	414.5	519.4	380.1	378.3	451.1	464.7	488	411.4	378.8	450.6	442.1	420.4	376.8	421.1	417.5	399.6	420.5	427.6	387.7	507.3	413.9	467.2	426	542.9	413.1	508.2	463.2	435.4	411.8	415.1	400.8	398.6	448.8	429.4	456.5	420.2	437.3	478.9	415.6
3148-49	Gro-b	CXCL2	P19875	4089.5	5311.4	7466	4844.5	4058.3	21887.3	8250.3	13602.2	9581.1	11125.2	9067.9	14242.6	5805.4	7805.9	4644.4	5637.6	15504.3	10442.3	11807.6	9205.7	12613.3	17823.7	3346.5	12592.1	8899.9	8174	16746.4	20089.2	8265.9	6649.9	6838.6	3691.7	6058.4	5958.9	1758.8	9254.7	9834.8	6208.7	6483.7	3886.5
3151-6	IL-2 sRa	IL2RA	P01589	519.6	542	496.5	740.5	566.5	594.7	759.4	879.2	585.9	686.3	588.2	581.7	571.7	781	551.6	518.8	675.4	1030.3	525.3	4764.9	505.8	786.9	617.7	1519.8	663.8	574.9	699.2	8239	504.7	555.8	638	1943.8	847.7	709.6	623.3	597	1332.4	563.8	619.1	602.2
3152-57	TNF sR-II	TNFRSF1B	P20333	1566.4	1469.1	1443.5	1644.3	1984.5	2058.5	1665	1987.9	1628.1	1494	1714.8	1830.3	1251.1	2644.9	1662	2141.5	1358.5	1322.9	1634.1	1432.3	1491.6	1312.2	1912.8	2029.4	1456.4	2015.1	1998.8	1921.7	1947.5	2043.7	1692.2	1431.4	1881.3	1999.7	1853.9	1721.7	1741.2	1842.2	1591.5	1484.7
3166-92	Siglec-3	CD33	P20138	2082.8	2600	1610.2	2306.6	1598.5	1888.2	2496.1	2176	2499.5	1448.1	785.5	2652.1	2088.8	1655	2902.3	747.4	1710.3	2741.7	1271.1	2728.4	2653.9	2413	1612.5	2788.7	1937.4	2306.6	1164.5	2261.5	2826.8	1958.1	1502	2960	3676.4	1756.2	1803.3	3282.9	1756.7	2688.4	2189.2	1319.4
3168-8	ADAMTS-5	ADAMTS5	Q9UNA0	288.5	282.1	266	311.9	285	300.5	294.4	275.9	277	277.3	269.1	289.6	374.1	330.5	598.2	265.3	298.7	354.2	265.7	295.3	268.1	342	295.6	281.6	353.1	298.8	327.9	300.5	321.9	361.6	317.1	317.9	273.8	287.3	397.4	285.8	303.8	309.7	299.4	366.6
3169-70	IDUA	IDUA	P35475	1019.1	886.7	1435.1	1314.2	955.5	1210	3466.4	1640.1	1062.2	1775.8	2245.2	998.1	1138.4	2169.1	1796.4	2047.5	1892.5	1662.6	1537.5	2203.2	916	1163.9	1929.8	1218.8	1451.8	1210.4	1126.9	1428.5	1335.5	1456.1	1140.6	1162.4	2659.6	1503.8	1361.2	1095.7	1253.4	1365.8	1157.3	1089.4
3170-6	AMPM2	METAP2	P50579	15166.8	12095.2	13111.8	16641.2	10520.4	21225.2	12266.6	17092.3	17292.9	25404.7	22947.2	22756.8	13357.7	16172.2	9566.6	9042.3	24931.3	25801.1	30807.1	20892.1	21054.3	15290.7	9544	10331.6	13902.1	17225	20214.4	39038.4	14200.1	16015.4	13015.3	14335.3	16058	15404.7	15260.1	18211.7	7711.6	14160.5	19243.2	16011
3171-57	amyloid precursor protein	APP	P05067	36142.4	44127.3	86724	19710.5	35671.2	43112.3	15287.8	74816.3	47998.5	22159.4	66755.5	56688.5	32990.9	24541.8	40255.3	62693	32154	22461.4	43886	17550.4	38505.3	32721.9	29421.3	21772.2	50017.3	40660.8	64460.4	36455.6	28694.7	23248.5	24919	17296.5	22447.7	46082.8	17386.6	48206.4	19725.1	19109.1	51306.4	35886
3172-28	ARSB	ARSB	P15848	1614.5	1714.3	2131.9	1673.2	1399.3	1776.7	1529	2142.3	1729.1	1533	2816.6	1333.7	1371.8	2099.9	1898.3	3781.1	1371.9	1160.5	1730.5	1508	1304.3	1374.1	1701.1	1684.8	1605.4	1567.2	2312	1695.5	1444.1	1653.9	1544.8	1432.9	1724.5	1233.1	1573.9	1337.6	2203.5	1375.3	1739.2	1713.6
3173-49	ASAHL	NAAA	Q02083	3376	14165.1	3014.4	6719.1	2556.4	3484.5	11161.7	3549.3	2505	3735.2	5613.7	2531.2	7625.7	5150.2	4067.2	2130.1	12597.6	3173.9	2126.6	7126.6	3485.2	3255.8	7934.5	4430.7	8953.8	2654.9	5727.1	3985.1	3817.2	5465.7	3399.9	4227.4	11889.8	3569.3	4186.1	5751.6	6220.3	2629.8	3876.5	7297
3174-2	ATS1	ADAMTS1	Q9UHI8	273.3	248.5	224.3	243	257.9	312.2	244.9	258.3	259.9	270.4	270.8	283.6	340.6	239.7	267	200.1	309	276.5	255.4	299.8	277.1	266.9	254.5	266.8	270.7	254.3	281	307.1	248.3	272.1	281.8	280.3	267.3	238.7	256	240.9	246.4	267.7	254.5	264.5
3175-51	ATS13	ADAMTS13	Q76LX8	15542.4	20687.5	19899.5	19370.2	17641.7	26361	24300.2	25862.5	23002.7	16473.7	24594.6	20096	20347.8	18015.6	23784.2	17372.6	14068.5	23690.8	18083.3	16493.2	16450.6	19830.1	18031.3	20163.8	23401.5	21827.4	18464.2	18683.8	19937.1	23368.6	20259	22955	12899.7	8041	19686.8	19148	22663	19517.9	19474.7	16174.9
3178-5	CATC	CTSC	P53634	759.3	718.2	816.4	737.1	831.8	763.4	768.9	728.7	748.9	656.8	670.9	690.2	685.9	655.8	681.4	708	656	708.7	727.8	748.7	729.5	730.4	997.7	724.5	747.2	674.7	698.5	646.5	820.4	705.8	692.9	620.9	672.4	710.3	780.7	817.6	712.4	680.6	741	711.2
3179-51	Cathepsin A	CTSA	P10619	8209.1	9159	19271.8	6927	7706	11122.4	12694.5	10173	7178.1	5526.8	12757.1	8164.9	9271.6	6348.9	7576.8	14960.9	13492.8	5296.4	12521.9	7197	7013.8	5624.3	9132.4	7306.3	12370.3	10895.8	19459.7	7022.2	6381	9163.6	6180.5	3658.8	10867.2	12330.9	6979.4	9883.8	7117.2	7359.4	9450.5	8673.5
3181-50	Cathepsin S	CTSS	P25774	16240.8	15589.7	11179.4	17717.9	14538	13852	19413.1	9601.3	12945.9	15767.3	9692	14063.4	15927.4	15570.6	11872.1	9002.6	14317.4	13959.1	12520.1	16268.4	23585.8	18735.4	14214.4	18152	9883.7	12615	13548.5	19066.7	14693.2	13655.1	16678.9	16073.9	17905.8	14687.5	17266.5	11532.7	14022.7	16116.4	11192.8	15131.5
3182-38	CD39	ENTPD1	P49961	3377.2	2812.9	3011	3122.9	3569.8	2678.8	4274.9	3152.6	3056.1	2512.1	2767.6	2361.9	2492.6	2793	2762.5	3080	2788.4	2205.1	3005	2510.9	2674.3	2456.7	4408	2455.1	2700.6	2497.1	2245.9	2591.7	3549.1	2775.4	2195.6	2287.8	2877.7	2791.1	3746.5	2912	3116.3	2920.5	3039.6	3155.6
3184-25	Coagulation Factor VII	F7	P08709	61286.9	66220.5	74975.7	66948.2	53844.9	76553.5	40749.1	75766.7	72851.4	68280.7	75160	60967.1	58526.2	24633.2	67171.6	64154.3	89716	63070.4	58745.7	65603.9	66268.5	40435.1	60832.6	66030.3	67972.8	64286.3	62125.6	72467.7	77661.7	64573.6	54740.5	64414.5	66720.5	52741.2	76757.8	47584.1	83320.4	70827.8	58267.3	38590.8
3186-2	C2	C2	P06681	5361.4	6069.9	5604.2	6184.6	6047.8	5846.5	5837.6	5912.1	5412.1	5446.2	5547.5	4527.6	4998	5382.7	3988.3	6408.8	5546.5	5458.8	5362.8	5133.1	4959.1	4673.6	5919.5	6055	4803.5	5907.9	5481.6	5172.3	4976	5994.6	5708.3	5935.5	5121.5	5169.2	5504.5	4119.4	6024.6	5953.3	5647.3	6555.6
3187-52	CRIS3	CRISP3	P54108	189.5	196.5	209.8	187.1	169.3	210	176.3	203.9	611.6	182.4	193.7	242.2	216.1	176	223.4	170	226.1	195.6	197	213.6	219.9	220.6	201.3	194.3	216.1	194	220.6	220.3	196.5	237.7	225.9	201.9	225.8	211.7	190.6	208.1	218	189.6	203.1	188.4
3189-61	Enterokinase	TMPRSS15	P98073	332.7	342	339.3	364	318.6	386.8	540.7	354.8	352.8	367.8	343.2	374.9	411.6	329.2	376.2	316.4	349.2	352	337.6	412.4	376.3	359	416.9	372.6	369.2	328.4	372.8	392.3	376.8	377.4	383.9	373.2	357.1	349.9	353.8	379.4	353.5	367.1	353.8	360.4
3191-50	WFKN1	WFIKKN1	Q96NZ8	308.9	351.2	224.1	258.3	317.4	356.1	288	299.7	304.3	289.8	279.4	360.1	382	320.3	359.4	214.1	300	367.9	283.8	322.8	378.7	349.9	398.3	501	310.7	271.4	287.1	367.2	338.6	325.5	440.8	350.6	322.3	324.3	289.5	276.4	248.1	288.6	309	296.6
3192-3	Glutamate carboxypeptidase	CNDP2	Q96KP4	2759.1	2436	2870.8	2705	3431.6	1956.5	2455.5	2770.1	2575.8	2048.5	2015.9	1635.7	1918.6	2226.8	1712.8	2393.5	1620.1	1526.5	2348.4	2619.9	1822.7	1908.5	4404.8	1804.8	1911.5	2057.2	1810.6	1931.3	3069.9	2227	1629.1	1284.6	2304.8	2452.9	3238.1	2659	2516.4	2595	2532.1	2619.6
3194-36	GPVI	GP6	Q9HCN6	6788	4641.7	10737.3	5977.2	4806.2	6504.8	4753.1	8959.2	7118.7	7751.1	20083.3	10166.3	4617.8	5154.4	7218.8	19240.4	10340.7	5607.3	16938.3	6176.2	5007.1	4501.3	4288.4	2614.8	5191.9	5375.3	10524.3	13556.9	6573.2	5657.7	8291.7	4376.7	4748.6	6726.3	4494.1	7877.4	5314.3	4224.7	7540.4	5076.6
3195-50	Granulysin	GNLY	P22749	843.2	1106	848.1	816	1193.1	916.2	919.5	719.4	1058.2	1649	2125.7	1156	896.6	605.2	812.8	1001	1263.6	1083.4	1523.1	1284.5	1374.7	1826.9	1338.2	1523.1	760.1	1280.7	689.5	926.5	611.3	698.4	789.6	1044.4	901	1267.9	1108.9	1073	1300	1238.1	1152.2	1010.1
3196-6	HPLN1	HAPLN1	P10915	1140.1	1075.4	808.4	790.7	1131.5	963.7	899.3	971.2	944.6	1125.3	834	993.1	1325.3	2701.9	1249.5	878.4	1338.2	1143.3	1038.4	949.6	1120.4	1171.2	1078	938.3	957.6	1510.4	1380.1	1252	1213.8	1515.9	846.1	1067.7	927.1	1215.2	1108.8	1533.8	978	933.3	1365.4	1027.9
3197-70	IDE	IDE	P14735	1889.7	1894.7	1820	1972.5	2097.4	2250.2	1961.6	1814.4	2202.4	2030.7	2095.2	1785.2	1548.9	1569.6	1701.7	2218.5	1666.3	1652.2	2038.9	1787.4	1928.9	1916.5	2286.5	1457.8	1624.6	1765.2	1895.8	2088	2325.8	1983.4	1823.4	1321.7	1656.3	1814.8	2304.1	1990.8	2271.4	1912.4	2193.4	1816.3
3198-4	IDS	IDS	P22304	2054.3	2550.8	1780.7	2618.1	1588.8	2207.9	2682.9	2060.9	2729.5	2476.6	1992.4	3541.1	2494.6	2380.7	3186.5	2045.7	3736.2	3661.4	2705	3227	2591.8	2633.8	2915.6	2877.8	2610.2	2145.5	2213.4	2701.2	2735.7	2766	2561.2	4022.9	6873.9	1513.3	2755.5	2135.5	2203.8	3352.6	2441.1	1837
3199-54	kallikrein 12	KLK12	Q9UKR0	28098.8	16468.5	22556.7	24883.1	30974.7	15613.4	21558.2	25332	24938.6	22421.7	13753.1	11952	16436.8	19914.5	14409.5	17478	16162.2	11898.8	19849.2	20027.7	14072.8	17234.3	30314.2	15039.8	14949.9	17083.2	8203.4	14556.7	29237.1	19462.7	13166.5	5162.6	20948.5	20000.1	33249.4	22028.7	24267.9	27066	24252.1	24791.7
3201-49	kallikrein 5	KLK5	Q9Y337	144.6	146.5	121	139.5	133.3	205.5	144.3	129.6	149.5	161.5	123.2	456	176.9	138	161.1	116.7	171.8	204.8	175	203.3	176.1	174.1	144	166.4	168.1	168.8	154.3	142.7	154.6	154.9	161.2	176.2	146.6	151.2	147.9	142.3	138	180	139.3	158.1
3202-28	KREM2	KREMEN2	Q8NCW0	4208.8	3791.4	4342.5	5626.9	4223.2	3893.2	6863.7	4281.6	5196.6	3613.5	3928.1	3161.4	3046	3392.7	2864.8	3753.9	3338.5	3043.5	4183.6	3173.1	3148.1	2981.3	5231.9	2459.2	3008.7	4817.4	3994.1	4708.7	4277.9	3487.2	3064.9	2347	4223.4	3745	4727.9	4311.1	3483.1	3990.5	4277.2	4088.9
3204-2	LKHA4	LTA4H	P09960	3361.9	2655.5	2668.8	3956.2	2418.6	2540.7	2873.9	2370.9	2581.4	2005.3	2012.6	2055.1	4047.6	2046	1849.5	2453.4	1862.8	1409.1	2139.1	2002	1617.7	2746.7	3278.8	2689.4	1968.5	1975.3	4135.4	2455.2	3301	2708.2	1543.3	1962.2	2676.9	2938.2	3051.8	2760.5	2272.1	2192.1	2640.9	2619.2
3206-4	LYVE1	LYVE1	Q9Y5Y7	44932.5	34266.1	44187.9	32535.1	43190.1	20011.9	44887.2	35581.6	50763.4	38369.1	42651.8	50523.8	35180	51590	54617	37518	38532.4	54744	41229.3	52375.3	50388.3	52219.1	43203.6	46859.5	54454.2	32710.4	31740.1	54039.8	50438.5	45887	33154.9	49901.2	53125.4	40067.7	43080	39010.7	55448.5	56275.3	37859.8	52169
3209-69	MEPE	MEPE	Q9NQ76	148.9	165.6	162.1	169.2	136.1	168.6	152.3	156	158.4	166.3	144.9	181.3	210.6	146.9	169.6	120.6	200.2	164.4	159.2	199.1	172.1	172.3	167	174.4	172.5	154	169.5	175.7	151	162	168.7	188.4	157.6	151.7	159.7	147.4	164.1	186.7	149.3	161
3210-1	METAP1	METAP1	P53582	681.1	612.1	473.9	718.8	580.7	851.1	724.1	1163.5	1273	1792.5	1508.1	1898.3	930.8	1100.7	591.2	693.8	2320.8	2305.8	3134.4	1303.5	954.7	790	464.1	560.3	882.8	1128.5	882	2763	1010.7	977.2	1036.5	610.5	1150.2	937.9	462.8	1488	506.5	1119.7	1537.6	670.8
3212-30	ASAH2	ASAH2	Q9NR71	2041.1	1524.6	1728.9	2317.9	2462.7	2768.2	2204.9	1503.8	1583	2368.8	1563.1	1838.2	1342	2390.6	2099.8	2019.6	3847.2	2591.7	1957.6	1899.3	2322.2	2200.1	2375.7	2186.6	1559.1	1756.5	2161.1	2127.3	2041.8	2021	1476.8	2686.3	3917.3	1939.7	3525.8	1952.2	3310.9	2471.6	2971.3	1918.6
3213-65	Nidogen	NID1	P14543	1417.2	1344.8	2106.4	1171.2	1214.1	1583.2	851.7	1515.6	1478.2	1414.6	1937.6	1336.5	1483.3	1280.5	1368.5	1683.4	1038.4	1014.6	1559.4	1049.6	1001.6	1285	1493.3	1059.2	1185.8	1485.4	1947.5	1325.4	957.8	1110.2	1220.7	1293	1007.9	1604.1	926.5	1815.4	1094	1042.4	1835.3	1441.8
3216-2	PIGR	PIGR	P01833	2641.6	1935.5	6452.6	11491.5	2624.5	3577.1	2895.1	2901.7	2953.5	4011.1	3077.5	2422.3	3291.8	2297.9	2555.3	1949.1	6257.1	1819.6	2679.9	3053.7	3589.1	4950	3243	3511.5	4569.1	2068.8	7065	2624.1	2455	2664.8	1572.9	2949.4	3169.6	3922.8	3337.3	7007.8	5738.9	1974.4	5066.5	3298.1
3220-40	RET	RET	P07949	2051.4	1219.4	1601.5	1671.9	2066	1603.3	1250.8	1252.1	1119	983.8	2250.2	1189.6	1182.8	1771.5	1694	1078.1	9256.5	1205	1906	1308.7	1561.1	1057.5	1569.7	2734.7	967	898.1	1179.6	1299.3	909.3	1426.6	1588.2	1366.6	1089.9	2108.8	850	962.7	4844.5	979.9	1197.3	1446.3
3221-54	SARP-2	SFRP1	Q8N474	3715	3330.9	3837.6	3585.8	2147.7	3701.7	2523.9	4520.2	3223.3	3222.5	2546.2	3471.7	3413.4	2542.2	1909.5	2525.3	2422.1	2069.9	2184.8	4153.2	3276.6	4400.5	3140.1	3099.3	3547.3	4226	4139.9	3526.8	2689.6	3922.4	2966.4	4071.6	3962.9	3025.5	5449.4	2871.5	2543.7	3359.3	3048.5	3673.4
3222-11	Semaphorin 3A	SEMA3A	Q14563	767.7	697.7	941.7	676.3	629	749.3	871.4	696.5	717.6	590.5	830	672.8	695.6	662.8	719.6	882.3	804.5	714.2	728.6	676	737.7	650.7	803.7	593.3	905	639.7	819.6	857	787.9	678.3	679.4	680.7	616.3	662.2	706.9	747.3	678.8	653.7	673.3	639.4
3232-28	TrATPase	ACP5	P13686	4006	4504.6	3344.9	3989.6	4139.9	5288.4	4625.5	2671.1	5101.5	3339.8	4376	4354.1	5335.6	4350.5	2590.8	4139.1	3200.5	3911.7	4791.7	2678.1	3262.7	4185	3677.4	3634.9	4824.8	3244.4	5399.2	3523.6	4708.4	4289.6	4396.7	3770.8	3561.2	3742.3	4836.2	4661.9	2794.2	5413.5	3908.1	4416.6
3234-23	URB	CCDC80	Q76M96	1478.8	1396.2	1840.1	1133.4	1552.4	1490.8	1082.5	1504.7	1192.2	1265.9	1284.3	1382.5	1467	1091.1	1177.4	1673.3	1244.9	1009.7	1350.3	1417.1	1379.5	1306.8	1453.1	2111.3	1205.3	1630.4	1623.4	1338.5	1133.5	1780.2	1313.1	1760.6	1457.3	1398.2	2062.1	1341.7	1295.2	2185.6	1055.9	1505
3235-50	WFKN2	WFIKKN2	Q8TEU8	1500.4	2598.3	1258.2	1779.4	1511	1917.3	2272.2	1516.9	2675.9	2430.6	1044.4	2198	1879.4	1626.7	2736.7	1204.5	2353	2814.8	2629.4	2569.7	2235.6	2078.2	2566.8	1848.3	1814.3	2228.4	1661.6	1875.3	1862.7	2369.7	2200.5	2521.4	3587.4	1518.4	3770.4	2116.3	2945.6	2129	2510.2	1654.2
3280-49	Aggrecan	ACAN	P16112	809.9	744.5	578.1	934.2	806.7	835	827.7	1001.4	743.7	821.4	658.7	888.9	933.2	756.2	882.2	638.5	4343.8	1007.6	754.1	1038.3	933.1	820.4	1215.6	1104.7	743.3	686.6	815.3	865	915.1	1097.1	1034	1046.7	1206.7	610.7	1072.4	672	1059.2	1109.3	890	796.7
3283-21	BGH3	TGFBI	Q15582	22730	20309.8	20032.5	21368.7	27453	30050.1	23450.3	25073.5	30753.4	21764.3	25180.3	24093.6	29119.2	24138	24485.7	24498.6	19427.5	32364	20401.3	24301.2	24222.5	28055.9	23737.5	24861.3	20686.2	20029	25435.2	24549.1	24882.5	28529.6	26420.6	26618.7	21246.4	17589	29733.7	24666	25936.7	23373.6	26922.9	29360.5
3284-75	BGN	BGN	P21810	5647.3	4025.4	2994.2	5209.9	6816.8	6168.9	3659.8	6668.3	6364.7	6602.7	3568.1	6596.2	6699.8	7558.8	8452.1	4431.4	4766.1	4096.1	5073	7558.8	8490.3	4891.7	7182.9	5618.1	4174.9	5850.9	4895.3	5820.2	6262.8	8144.2	9038.7	6461.4	6953.8	4596.7	7005.9	5709.7	6270.9	6188.7	7187.1	5447.4
3285-23	C1r	C1R	P00736	133813.4	118063.8	121150.9	109152	84882.1	88031.2	116258.5	115326.4	120948.5	108503.1	91277.5	119848.4	107435.3	96874.6	105405.2	55619	116603.6	86166.2	89941.7	119441.3	109485.6	107669.3	112369.7	110146.8	96671.3	106064.4	43618.5	141216.8	119881.8	84590	104759.7	136335.1	125509.8	99844.4	127764.1	97846.8	133706.3	87484.4	106972.5	103877
3290-50	CD109	CD109	Q6YHK3	1289	1211.4	1142.4	697.5	1061.3	839	1117.2	951.7	967.9	854.9	986	951.2	1038.4	944.7	1000.8	1339.9	1360.2	1018.7	971.5	946.8	834.3	935.2	1232.4	674.7	1202.5	906.5	766	940.5	865.3	1698.4	1012.3	1348.3	898.8	865.8	1189.2	891.2	1225.2	963.7	905.3	1411.8
3291-30	CD23	FCER2	P06734	3258.6	2555.4	1839.3	1997	2713.6	3306.2	2172.4	2466.6	3403.4	2305.5	2809.7	1971.8	2082.3	2470.6	3289.1	3795.4	2124.5	2394.1	2913	2735.9	2654.5	1287.7	3701.8	5818	1484.7	2250.3	3291.5	3582	4211.9	2397.7	2635.4	2868.9	3192.7	2292.2	3094.2	2539.8	3404.6	2229.2	2576.5	1862.9
3292-75	CD48	CD48	P09326	5658	6199.3	2945.4	5932.3	5970.9	4815.3	5680.4	5749.6	6220.7	6716.3	3457	8584.6	6669.6	5800.6	8158.4	3574.9	8493.8	8678.2	6564.2	8529.9	6776.1	5976.2	6612.4	8277.1	5523.9	7396	5074.6	7038.5	8309.7	6549.4	7230.6	8732.2	7830.7	5146.2	6048.3	6980.8	7835.2	7605.5	6622.1	4928.1
3293-2	CD5L	CD5L	O43866	8548.9	4729	7213.3	9338.3	6644.7	5484	15380.1	8572.2	8417.2	11966.4	5504	9290.7	7247.7	8807.2	9403.2	5688.1	7024.8	6485.7	7800.8	7965.2	7827.4	7996.7	7192.2	9344.5	11660.3	9562.3	6898	7910.2	7407.6	3999.4	14070.1	8078.4	16006.6	14080.5	4978.4	7733.6	6752.4	6808.4	7845.6	7748.2
3294-55	CFC1	CFC1	P0CG37	1414.6	1576.6	1228.1	1340.5	1475.4	1544.3	1388.6	1428.1	1424.4	1492.4	1421.5	1413	1775	1247.7	1194.1	1466.1	1411.6	1348.1	1409.3	1391.9	1442.7	1313.4	1471	1322.6	1347.9	1382.5	1779.2	1621.1	1351.8	1742.1	1631.7	1490.8	1434	1363.8	1571.9	1429.1	1325.4	1449.9	1497	1600.1
3296-92	CNTN2	CNTN2	Q02246	2186.4	1478	882.2	1491.9	1376.6	1421.1	1513	1621.1	986.6	1457.9	1236.7	1205.9	2030.6	1594.1	2585.6	1215.1	1857.3	1790.7	2201.3	1664.3	2230.2	1326	1507.3	2623.3	1921.5	1301.5	1835	1262.8	1772.1	1600.6	1652.4	1319.1	1724.9	2020.2	1506.8	1490.3	1699.5	1404.3	1807	2080.1
3298-52	Contactin-4	CNTN4	Q8IWV2	6376.1	7432.7	7784.5	6993.3	6668.4	6508.6	5968.6	7302.6	6778.3	5824.3	8229.3	7020.1	6779.4	6013	7178.8	7638.4	6221.2	7205.2	7231.4	8516.7	6877.3	5293.5	8479	6910.7	7817.2	5040.3	6460.3	7055.7	6890.3	5667.3	4842.6	5462.3	6655.3	5053.7	7212	6611.2	8070.8	6767.5	6398.4	7223.9
3299-29	Contactin-5	CNTN5	O94779	864.2	680	692.2	775.3	646.5	696.3	653.7	665.8	685.7	674.8	653.7	628	739.3	667.1	754.5	602.9	658.6	1034.2	625.6	713.2	804.9	633.4	721.1	1163.6	661.3	735.5	836.5	774.8	627.3	677.2	751.8	680.4	758	835.5	883	615.8	831.4	610.6	664.7	696.5
3302-58	CYTF	CST7	O76096	1505.1	813.2	1673	856	1642.2	957.6	1084.7	805.4	711.2	982.5	741.4	673.4	747.2	562.7	489.3	619.9	1152.1	711	834.4	571.4	979.3	682.3	1357.4	708.8	672.4	471.6	1606.6	899.7	736.9	956.7	534.1	900.7	1331.9	1777.3	889.7	687.7	956	936	690.5	782.9
3305-6	DLL4	DLL4	Q9NR61	586.4	587.7	458.2	636.8	601	655.2	1311	577.5	642.4	863.6	481.8	854.5	584.1	590.8	767.3	468.8	921.1	743.2	647.3	661.9	834.3	663.1	723.9	835.6	859.9	903.5	706.2	752.5	711.7	720.4	650	859.5	795.6	710	817.5	699.2	885.1	831.6	722.2	755.2
